ticker,
$Fartcoin,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump
$Ray,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R
$MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5
$LAUNCHCOIN,Ey59PH7Z4BFU4HjyKnyMdWt5GGN76KazTAwQihoUXRnk
$COLLAT,C7heQqfNzdMbUFQwcHkL9FvdwsFsDRBnfwZDDyWYCLTZ
$AVA,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump
$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm
$POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr
$Pnut,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump
$MOODENG,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY
$GIGA,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9
$BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82
$PONKE,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC
$FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump
$UFD,eL5fUxj2J4CiQsmW85k5FG9DvuQjjUoBHoQBi2Kpump
$titcoin,FtUEW73K6vEYHfbkfpdBZfWpxgQar2HipGdbutEhpump
$ZEREBRO,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn
$ALCH,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump
$GOAT,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump
$RETARDIO,6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx
$michi,5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp
$SIGMA,5SVG3T9CNQsm2kEwzbRq6hASqh1oGfjqTtLXYUibpump
$MLG,7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL
